2024-03-21 12:18:33 200 GET /login HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36 - 0:0:0:0:0:0:0:1 1462 277651
2024-03-21 12:18:33 200 GET /login_form/login_from.js HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36 http://localhost:8087/login 0:0:0:0:0:0:0:1 280 13551
2024-03-21 12:18:33 200 GET /login_form/login_form.css HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36 http://localhost:8087/login 0:0:0:0:0:0:0:1 1407 14132
2024-03-21 12:18:36 302 POST /login HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36 http://localhost:8087/login 0:0:0:0:0:0:0:1 - 138345
2024-03-21 12:18:36 500 GET /mypage/1 HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36 http://localhost:8087/login 0:0:0:0:0:0:0:1 8738 161578
2024-03-21 12:22:08 200 GET /login HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36 - 0:0:0:0:0:0:0:1 1462 276475
2024-03-21 12:22:08 200 GET /login_form/login_from.js HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36 http://localhost:8087/login 0:0:0:0:0:0:0:1 280 10451
2024-03-21 12:22:08 200 GET /login_form/login_form.css HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36 http://localhost:8087/login 0:0:0:0:0:0:0:1 1407 11018
2024-03-21 12:22:12 302 POST /login HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36 http://localhost:8087/login 0:0:0:0:0:0:0:1 - 146526
2024-03-21 12:22:12 200 GET /mypage/1 HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36 http://localhost:8087/login 0:0:0:0:0:0:0:1 2665 132112
2024-03-21 12:22:12 404 GET /mypage/mypage/myPage.css HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36 http://localhost:8087/mypage/1 0:0:0:0:0:0:0:1 4399 68091
2024-03-21 12:22:12 400 GET /mypage/profile-pic.jpg HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36 http://localhost:8087/mypage/1 0:0:0:0:0:0:0:1 6907 68015
2024-03-21 12:22:12 404 GET /mypage/mypage/mypage.js HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36 http://localhost:8087/mypage/1 0:0:0:0:0:0:0:1 4396 61076
2024-03-21 12:48:03 200 GET /login HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36 - 0:0:0:0:0:0:0:1 1462 279561
2024-03-21 12:48:03 200 GET /login_form/login_form.css HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36 http://localhost:8087/login 0:0:0:0:0:0:0:1 1407 14300
2024-03-21 12:48:03 200 GET /login_form/login_from.js HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36 http://localhost:8087/login 0:0:0:0:0:0:0:1 280 14230
2024-03-21 12:48:08 302 POST /login HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36 http://localhost:8087/login 0:0:0:0:0:0:0:1 - 121811
2024-03-21 12:48:08 200 GET /mypage/1 HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36 http://localhost:8087/login 0:0:0:0:0:0:0:1 2667 138372
2024-03-21 12:48:08 400 GET /mypage/mypage.js HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36 http://localhost:8087/mypage/1 0:0:0:0:0:0:0:1 6883 51662
2024-03-21 12:48:08 400 GET /mypage/myPage.css HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36 http://localhost:8087/mypage/1 0:0:0:0:0:0:0:1 6887 52961
2024-03-21 12:48:08 400 GET /mypage/profile-pic.jpg HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36 http://localhost:8087/mypage/1 0:0:0:0:0:0:0:1 6907 52962
2024-03-21 13:46:19 200 GET /mypage/1 HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36 http://localhost:8087/login 0:0:0:0:0:0:0:1 2665 494894
2024-03-21 13:46:19 200 GET /mypage/1 HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36 http://localhost:8087/login 0:0:0:0:0:0:0:1 2665 422925
2024-03-21 13:46:19 404 GET /mypage/mypage/mypage.js HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36 http://localhost:8087/mypage/1 0:0:0:0:0:0:0:1 4396 65003
2024-03-21 13:46:19 404 GET /mypage/mypage/myPage.css HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36 http://localhost:8087/mypage/1 0:0:0:0:0:0:0:1 4399 69004
2024-03-21 13:46:19 400 GET /mypage/profile-pic.jpg HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36 http://localhost:8087/mypage/1 0:0:0:0:0:0:0:1 6907 69021
2024-03-21 13:46:20 200 GET /mypage/1 HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36 http://localhost:8087/login 0:0:0:0:0:0:0:1 2665 62124
2024-03-21 13:46:20 404 GET /mypage/mypage/myPage.css HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36 http://localhost:8087/mypage/1 0:0:0:0:0:0:0:1 4399 7003
2024-03-21 13:46:20 400 GET /mypage/profile-pic.jpg HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36 http://localhost:8087/mypage/1 0:0:0:0:0:0:0:1 6907 5890
