2024-03-25 09:58:30 200 GET /main/img/2.jpg HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36 http://localhost:8087/ 0:0:0:0:0:0:0:1 691506 9238
2024-03-25 09:58:30 200 GET /main/img/3.jpg HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36 http://localhost:8087/ 0:0:0:0:0:0:0:1 890406 11249
2024-03-25 09:58:30 200 GET /main/img/5.jpg HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36 http://localhost:8087/ 0:0:0:0:0:0:0:1 771220 18837
2024-03-25 09:58:30 200 GET /main/img/7.jpg HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36 http://localhost:8087/ 0:0:0:0:0:0:0:1 382212 18635
2024-03-25 09:58:30 200 GET /main/img/6.jpg HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36 http://localhost:8087/ 0:0:0:0:0:0:0:1 391346 19684
2024-03-25 09:58:30 200 GET /main/img/4.jpg HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36 http://localhost:8087/ 0:0:0:0:0:0:0:1 713914 22914
2024-03-25 09:58:30 200 GET /main/img/8.jpg HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36 http://localhost:8087/ 0:0:0:0:0:0:0:1 281056 6255
2024-03-25 09:58:30 200 GET /main/img/image-170.png HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36 http://localhost:8087/ 0:0:0:0:0:0:0:1 99898 5613
2024-03-25 09:58:30 200 GET /main/img/div8.png HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36 http://localhost:8087/main/style.css 0:0:0:0:0:0:0:1 900102 11828
2024-03-25 09:58:30 200 GET /main/img/main~.png HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36 http://localhost:8087/main/style.css 0:0:0:0:0:0:0:1 3928348 20259
2024-03-25 09:58:30 500 GET /favicon.ico HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36 http://localhost:8087/ 0:0:0:0:0:0:0:1 101 76762
2024-03-25 09:59:39 200 GET / HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36 - 0:0:0:0:0:0:0:1 5252 358617
